,Id_servicio,Id_catalogo,Id_prestador,Estado_servicio,Titulo_servicio,Informacion,Precio,Fecha_inicio,Fecha_cierre
0,100001,,,,"HONDA PILOT 2013 FRONTERIZA
Juárez","Honda Pilot 2013 fronteriza cero adeudos, 5 puertas, automática, eléctrica, Bluetooth, WiFi. Pantalla, cámara de reversa. A/C. Para mayor información llamar al 656 442 7221","$190,000 ",11/21/2022 20:00,12/21/2022 20:00
1,100002,,,,"AUDI 2014 ENVY MEXICANO COLOR ROJO VIOLETA 79 000 KM
Ciudad Juárez",AUTOMATICO 3 PUERTAS A/C SONIDO BOSTER PANTALLA,"$215,000 ",11/21/2022 20:00,12/21/2022 20:00
2,100003,,,,"Vendo murano 2015
juarez chihuahua","En venta murano 2015 sin adeudo ya plaqueada sin detalle lista para viajar solo cambió de propietario pido 265,000.00 negociable con dinero en mano","$265,000 ",11/21/2022 20:00,12/21/2022 20:00
3,100004,,,,"COMPRA DE AUTOS
Ciudad Juárez","❗COMPRO CARROS TROCAS O CAMIONETAS❗ AMERICANOS TENGAN O NO TENGAN TÍTULO ???????? FRONTERIZOS Y NACIONALES ???????? CON O SIN ADEUDO CON O SIN PAPELES ???? NO IMPORTA EL AÑO, …","$50,000 ",11/21/2022 20:00,12/21/2022 20:00
4,100005,,,,"Nissan Versa 1.6 Exclusive Navi 2017
Ciudad Juárez",Grupo Mabe pone en remate su gran flota vehicular por cambio de unidades contamos con unidades en perfecto estado 100% operativas todas nuestras unidades cuentan con factura …,"$70,000 ",11/21/2022 20:00,12/21/2022 20:00
5,100006,,,,"Volkswagen Jetta Sportline
Ciudad Juárez",Grupo Mabe pone en remate su gran flota vehicular por cambio de unidades contamos con unidades en perfecto estado 100% operativas todas nuestras unidades cuentan con factura …,"$70,000 ",11/21/2022 20:00,12/21/2022 20:00
6,100007,,,,"Volkswagen Gol 1.6 Trendline 2018c
Ciudad Juárez",Grupo Mabe pone en remate su gran flota vehicular por cambio de unidades contamos con unidades en perfecto estado 100% operativas todas nuestras unidades cuentan con factura …,"$60,000 ",11/21/2022 20:00,12/21/2022 20:00
7,100008,,,,"Chevrolet Aveo 2017 1.6
Ciudad Juárez",Grupo Mabe pone en remate su gran flota vehicular por cambio de unidades contamos con unidades en perfecto estado 100% operativas todas nuestras unidades cuentan con factura …,"$50,000 ",11/21/2022 20:00,12/21/2022 20:00
8,100009,,,,"Nissan Sentra EXCLUSIVE
Ciudad Juárez",Grupo Mabe pone en remate su gran flota vehicular por cambio de unidades contamos con unidades en perfecto estado 100% operativas todas nuestras unidades cuentan con factura …,"$80,000 ",11/21/2022 20:00,12/21/2022 20:00
9,100010,,,,"Nissan Kicks 2018
Ciudad Juárez",Grupo Mabe pone en remate su gran flota vehicular por cambio de unidades contamos con unidades en perfecto estado 100% operativas todas nuestras unidades cuentan con factura …,"$90,000 ",11/21/2022 20:00,12/21/2022 20:00
10,100011,,,,"Volkswagen Jetta 2017
Ciudad Juárez",Grupo Mabe pone en remate su gran flota vehicular por cambio de unidades contamos con unidades en perfecto estado 100% operativas todas nuestras unidades cuentan con factura …,"$60,000 ",11/21/2022 20:00,12/21/2022 20:00
11,100012,,,,"Volkswagen Vento 1.6 Highline 2018 At
Ciudad Juárez",Grupo Mabe pone en remate su gran flota vehicular por cambio de unidades contamos con unidades en perfecto estado 100% operativas todas nuestras unidades cuentan con factura …,"$50,000 ",11/21/2022 20:00,12/21/2022 20:00
12,100013,,,,"Nissan Versa 1.6 Exclusive
Ciudad Juárez",Grupo Mabe pone en remate su gran flota vehicular por cambio de unidades contamos con unidades en perfecto estado 100% operativas todas nuestras unidades cuentan con factura …,"$70,000 ",11/21/2022 20:00,12/21/2022 20:00
